FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Alberta,Canada,2020-04-03 22:52:30,53.9333,-116.5765,969,13,0,0,"Alberta, Canada"
,,Anguilla,United Kingdom,2020-04-03 22:46:20,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Anhui,China,2020-03-08 5:19:01,31.8257,117.2264,990,6,984,0,"Anhui, China"
,,Aruba,Netherlands,2020-04-03 22:46:20,12.5211,-69.9683,62,0,1,61,"Aruba, Netherlands"
,,Australian Capital Territory,Australia,2020-04-03 22:52:45,-35.4735,149.0124,91,1,18,72,"Australian Capital Territory, Australia"
,,Beijing,China,2020-04-03 8:47:06,40.1824,116.4142,584,8,434,142,"Beijing, China"
,,Bermuda,United Kingdom,2020-04-03 22:46:20,32.3078,-64.7505,35,0,14,21,"Bermuda, United Kingdom"
,,"Bonaire, Sint Eustatius and Saba",Netherlands,2020-04-03 22:46:20,12.1784,-68.2385,2,0,0,2,"Bonaire, Sint Eustatius and Saba, Netherlands"
,,British Columbia,Canada,2020-04-03 22:52:30,53.7267,-127.6476,1174,31,0,0,"British Columbia, Canada"
,,British Virgin Islands,United Kingdom,2020-04-03 22:46:20,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,2020-04-03 22:46:20,19.3133,-81.2546,28,1,0,27,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,2020-04-03 22:46:20,49.3723,-2.3644,232,4,13,215,"Channel Islands, United Kingdom"
,,Chongqing,China,2020-03-29 0:14:12,30.0572,107.874,579,6,570,3,"Chongqing, China"
,,Curacao,Netherlands,2020-04-03 22:46:20,12.1696,-68.99,11,1,3,7,"Curacao, Netherlands"
,,Diamond Princess,Canada,2020-04-03 22:52:30,,,0,1,0,0,"Diamond Princess, Canada"
,,Faroe Islands,Denmark,2020-04-03 22:46:20,61.8926,-6.9118,179,0,91,88,"Faroe Islands, Denmark"
,,French Guiana,France,2020-04-03 22:46:20,4,-53,57,0,22,35,"French Guiana, France"
,,French Polynesia,France,2020-04-03 22:46:20,-17.6797,-149.4068,39,0,0,39,"French Polynesia, France"
,,Fujian,China,2020-04-03 2:47:58,26.0789,117.9874,349,1,300,48,"Fujian, China"
,,Gansu,China,2020-04-01 14:00:34,37.8099,101.0583,138,2,127,9,"Gansu, China"
,,Gibraltar,United Kingdom,2020-04-03 22:46:20,36.1408,-5.3536,95,0,46,49,"Gibraltar, United Kingdom"
,,Grand Princess,Canada,2020-04-03 22:52:30,,,13,0,0,0,"Grand Princess, Canada"
,,Greenland,Denmark,2020-04-03 22:46:20,71.7069,-42.6043,10,0,3,7,"Greenland, Denmark"
,,Guadeloupe,France,2020-04-03 22:46:20,16.265,-61.551,130,7,24,99,"Guadeloupe, France"
,,Guangdong,China,2020-04-03 6:02:14,23.3417,113.4244,1514,8,1368,138,"Guangdong, China"
,,Guangxi,China,2020-04-02 0:16:02,23.8298,108.7881,254,2,252,0,"Guangxi, China"
,,Guizhou,China,2020-03-18 1:37:43,26.8154,106.8748,146,2,144,0,"Guizhou, China"
,,Hainan,China,2020-03-24 4:19:14,19.1959,109.7453,168,6,162,0,"Hainan, China"
,,Hebei,China,2020-04-03 1:13:53,39.549,116.1306,326,6,310,10,"Hebei, China"
,,Heilongjiang,China,2020-04-03 0:10:11,47.862,127.7615,489,13,469,7,"Heilongjiang, China"
,,Henan,China,2020-03-29 1:44:01,33.882,113.614,1276,22,1251,3,"Henan, China"
,,Hong Kong,China,2020-04-03 9:35:41,22.3,114.2,845,4,173,668,"Hong Kong, China"
,,Hubei,China,2020-04-03 2:54:04,30.9756,112.2707,67802,3203,63612,987,"Hubei, China"
,,Hunan,China,2020-04-02 1:30:57,27.6104,111.7088,1019,4,1014,1,"Hunan, China"
,,Inner Mongolia,China,2020-04-01 23:56:51,44.0935,113.9448,117,1,74,42,"Inner Mongolia, China"
,,Isle of Man,United Kingdom,2020-04-03 22:46:20,54.2361,-4.5481,114,1,0,113,"Isle of Man, United Kingdom"
,,Jiangsu,China,2020-04-03 3:12:20,32.9711,119.455,651,0,632,19,"Jiangsu, China"
,,Jiangxi,China,2020-03-30 3:15:15,27.614,115.7221,937,1,935,1,"Jiangxi, China"
,,Jilin,China,2020-03-29 0:28:20,43.6661,126.1923,98,1,92,5,"Jilin, China"
,,Liaoning,China,2020-04-02 13:24:15,41.2956,122.6085,141,2,124,15,"Liaoning, China"
